mcg,gvh,alm,mit,erl,pox,vac,nuc,class,Cluster,Agglomerative_Cluster
0.3536766572335658,0.0214245608595134,0.0920957992191201,0.1235284370170811,0.0217421238942835,0.0251673322980292,0.075151312502448,0.1742356876203832,NUC,2,1
0.2485580660782393,0.3039361586250159,0.2770899488871421,0.3094701441780858,0.0668888293891077,0.0244009297675194,0.0569778455149727,0.4885086971984035,CYT,0,2
0.4159590873381714,0.6520465348706161,0.3644592393252508,0.1021753299917805,0.2295207636741714,0.0014686078253429,0.0930703437470793,0.5450976726440057,CYT,3,1
0.1599675758099919,0.1410613900208829,0.3941795820459466,0.1616389089248248,0.0653377116648007,0.0169935952093705,0.3354857185187677,0.056402598641354,NUC,2,1
0.5502830780616322,0.2987765014304245,0.2393427306789137,0.1934229990576632,0.0438835480067188,0.0580440568102402,0.2180512416465466,0.3188244880335588,MIT,0,0
0.110945287593398,0.0944285191880252,0.2884479453448695,0.1003783597513744,0.2529227384335027,0.0119692245871902,0.4171462707898894,0.6516728872004607,MIT,3,0
0.5098966417920571,0.6359035595895273,0.1239138334470092,0.1785222323011702,0.1048655767874268,0.0665428910532502,0.0386082895115614,0.250992148189992,NUC,0,3
0.1772703794727445,0.218216060880933,0.3284087390781489,0.0743730026330245,0.0053095030473055,0.1275814153230359,0.1078784364350127,0.4288343302321231,MIT,1,0
0.1982904719133444,0.3154824162062239,0.1536860843851698,0.240207639771516,0.0072481582291945,0.0124297835065967,0.0550242951806016,0.1130099013437318,MIT,2,1
0.3762367882135499,0.2607079261211888,0.4259229668207124,0.095411607321967,0.0789098666983945,0.0320074675475101,0.0228706067318936,0.1607984046047828,NUC,2,1
0.5434668040445325,0.4224273898295277,0.2931513458280168,0.1212125531602515,0.4110465876383854,0.0506872923066481,0.0409856911735785,0.3337997221441766,CYT,3,3
0.0847637629426502,0.1708292652455827,0.4194492463227081,0.1973216172834331,0.0937066070575169,0.0284940183628829,0.0127570145154386,0.5390441142147394,CYT,2,1
0.3579287927839609,0.2565863199801682,0.2092631427116253,0.4449479395171781,0.1615034093856947,0.0939788334924622,0.1595873219417152,0.228097073652026,CYT,0,2
0.2733207739503824,0.2651574433650202,0.3185020956742398,0.1429077313308006,0.2628709117072779,0.02613323758242,0.0006152659593484,0.2956445890102815,CYT,3,3
0.1343761410948502,0.0606906527030963,0.2164696134256201,0.0290708251314325,0.182886643859844,0.0257553165407838,0.0309864784610616,0.5598496868725282,CYT,3,3
0.3532548500048075,0.039814195396608,0.186232555795563,0.1536701589768066,0.012021570116065,0.0475393214692414,0.0529336206910409,0.2527998510207626,MIT,2,1
0.1327901214327579,0.3354249355384948,0.2539540974780361,0.2561191570278872,0.0043391032897464,0.0082435195976337,0.0344766572024944,0.0647902612005844,CYT,2,1
0.326434368425168,0.0461089888225419,0.18007872030166,0.1435910510388072,0.0516236935257444,0.0207036476735707,0.252312196446619,0.0530506624928951,CYT,2,1
0.1658104012585459,0.2287694724603981,0.4426781545178019,0.0638921942646599,0.1426718035596869,0.0466339532508753,0.0710501065973659,0.1694070791489516,EXC,2,1
0.207734214505591,0.1277417962707742,0.2953304047422707,0.183681616008946,0.1040057728379592,0.0031653483018354,0.1154440141852091,0.1217685270078031,MIT,2,1
0.2634084880828478,0.2880155464028137,0.2536197726475943,0.1137609007727453,0.0147291747865716,0.0313805368680305,0.0088943046201688,0.4017196703926399,NUC,2,1
0.3900143303664891,0.4148286839675102,0.3112294443399451,0.3185993510456312,0.0289077935423791,0.0012558443759747,0.0094350226183905,0.2226555123331099,CYT,0,2
0.1536454700072753,0.412519320532224,0.2409358162171611,0.043837445768582,0.1301885061340376,0.0300659468796616,0.0661064461986932,0.5905046338868625,NUC,3,1
0.3055023511983206,0.323821357478851,0.2759426733254032,0.3967348041793473,0.1044662224641246,0.009920364854939,0.0788975250295335,0.2887544454231675,NUC,0,2
0.203313881265596,0.3135370593176542,0.3958287570597552,0.3418522439734648,0.0672610999310085,0.0139493886532075,0.1941994019309428,0.3837966017290928,NUC,0,2
0.1838768760882306,0.4400307639755862,0.2819913688066918,0.0477672481902291,0.0361962035651106,0.0039662422207769,0.2058619228456393,0.102377313780526,CYT,2,0
0.3678240872354807,0.3212658186958191,0.2739122791455946,0.0831645669866902,0.0627390350971923,0.0358395329161445,0.03540649670415,0.2649321629913228,NUC,2,1
0.2020967664638769,0.1806338066103014,0.4534970887567172,0.1650449914029914,0.1148449641513377,0.0956826319973317,0.0146637917661078,0.2381213933241552,EXC,1,1
0.1863395045288194,0.0457018456944586,0.1428841740794156,0.4103097912845466,0.015753311754734,0.0137058395905541,0.1194446646874941,0.5288248587464165,CYT,0,2
0.2835202997539891,0.4856923468537112,0.2213819543614815,0.0894059413562621,0.0048106289489925,0.0567071333335795,0.117958617940954,0.6589925851046313,CYT,2,1
0.1003993030662121,0.6518362739185918,0.2488153414798753,0.113570813128575,0.049418970208931,0.0079536921636752,0.0471302892855137,0.2300762761620037,CYT,2,1
0.207729389165234,0.1931495515179559,0.540095102183907,0.310307747330182,0.0607625558006684,0.0225095921036189,0.0095150763921565,0.2981538219522874,NUC,2,2
0.3096377073595142,0.2060511373929203,0.3040936097842548,0.1870527684645464,0.0535850064674002,0.0065599929774155,0.0867522272250257,0.3256467275177822,CYT,2,1
